Date,Adj Close,Close,High,Low,Open,Volume
2021-06-11,72957.34375,81000.0,81700.0,80700.0,81200.0,14087962
2021-06-14,72507.0,80500.0,80900.0,80500.0,80800.0,10550078
2021-06-15,72867.3046875,80900.0,81200.0,80600.0,80900.0,10075685
2021-06-16,73677.921875,81800.0,81900.0,81100.0,81500.0,14999855
2021-06-17,72867.3046875,80900.0,81300.0,80700.0,81100.0,14007385
2021-06-18,72507.0,80500.0,81100.0,80500.0,81100.0,14916721
2021-06-21,71966.5546875,79900.0,80000.0,79600.0,79700.0,16063340
2021-06-22,72056.640625,80000.0,80300.0,79900.0,80200.0,11773365
2021-06-23,72146.71875,80100.0,80600.0,79900.0,80500.0,13856548
2021-06-24,73137.484375,81200.0,81400.0,80100.0,80400.0,18771080
2021-06-25,73497.765625,81600.0,81900.0,81200.0,81500.0,13481405
2021-06-28,73767.984375,81900.0,82000.0,81600.0,81700.0,11578529
2021-06-29,73280.3515625,81000.0,82100.0,80800.0,81900.0,15744317
2021-06-30,73008.953125,80700.0,81400.0,80700.0,81100.0,13288643
2021-07-01,72466.1328125,80100.0,80600.0,80000.0,80500.0,13382882
2021-07-02,72375.65625,80000.0,80400.0,79900.0,80000.0,8753097
2021-07-05,72737.53125,80400.0,80800.0,80000.0,80100.0,8330969
2021-07-06,73461.296875,81200.0,81200.0,80500.0,80600.0,12131651
2021-07-07,73099.4296875,80800.0,81300.0,80300.0,81200.0,15992202
2021-07-08,72285.1875,79900.0,81200.0,79900.0,81100.0,16660998
2021-07-09,71832.84375,79400.0,79800.0,79000.0,79600.0,22720577
2021-07-12,72104.2421875,79700.0,80000.0,79500.0,79900.0,9768108
2021-07-13,72194.7265625,79800.0,80200.0,79800.0,80000.0,9863450
2021-07-14,71923.328125,79500.0,79600.0,79100.0,79400.0,11575636
2021-07-15,72918.484375,80600.0,80600.0,79500.0,79800.0,13766279
2021-07-16,72194.7265625,79800.0,80100.0,79500.0,80100.0,10859399
2021-07-19,71470.9765625,79000.0,79200.0,78800.0,79100.0,13155414
2021-07-20,71470.9765625,79000.0,79000.0,78400.0,78500.0,12456646
2021-07-21,71018.625,78500.0,79100.0,78500.0,79000.0,12355296
2021-07-22,72104.2421875,79700.0,79800.0,78900.0,79000.0,12618790
2021-07-23,71742.375,79300.0,79900.0,79200.0,79700.0,9098910
2021-07-26,71290.0546875,78800.0,79500.0,78800.0,79400.0,10040975
2021-07-27,71018.625,78500.0,79400.0,78500.0,79200.0,11427693
2021-07-28,71651.90625,79200.0,79200.0,78100.0,78300.0,12743417
2021-07-29,71470.9765625,79000.0,79400.0,78800.0,78800.0,14360453
2021-07-30,71018.625,78500.0,78900.0,78500.0,78900.0,13823411
2021-08-02,71742.375,79300.0,79500.0,78700.0,79200.0,11739124
2021-08-03,73642.2421875,81400.0,81400.0,79300.0,79400.0,24339360
2021-08-04,74999.296875,82900.0,83100.0,81800.0,82200.0,25642368
2021-08-05,74275.5390625,82100.0,83300.0,82000.0,83300.0,18485469
2021-08-06,73732.703125,81500.0,82500.0,81300.0,81900.0,13342623
2021-08-09,73732.703125,81500.0,82300.0,80900.0,81500.0,15522581
2021-08-10,72556.6015625,80200.0,82400.0,80100.0,82300.0,20362639
2021-08-11,71018.625,78500.0,79800.0,78500.0,79600.0,30241137
2021-08-12,69661.578125,77000.0,78200.0,76900.0,77100.0,42365223
2021-08-13,67309.3671875,74400.0,76000.0,74100.0,75800.0,61270643
2021-08-17,67128.421875,74200.0,75100.0,74000.0,74000.0,30944847
2021-08-18,66857.0234375,73900.0,74600.0,73100.0,73900.0,29192631
2021-08-19,66133.2734375,73100.0,74400.0,73100.0,73500.0,22166298
2021-08-20,65771.3984375,72700.0,73900.0,72500.0,73500.0,22364803
2021-08-23,66314.1953125,73300.0,74000.0,73000.0,73300.0,19384648
2021-08-24,68394.9921875,75600.0,75700.0,73900.0,73900.0,21016913
2021-08-25,68485.484375,75700.0,76600.0,74900.0,76200.0,22319664
2021-08-26,67490.2890625,74600.0,76200.0,74600.0,76100.0,16671494
2021-08-27,67218.8984375,74300.0,75000.0,73800.0,74300.0,15172748
2021-08-30,67490.2890625,74600.0,75500.0,74200.0,75400.0,12686999
2021-08-31,69390.171875,76700.0,76700.0,74300.0,74900.0,24630370
2021-09-01,69480.640625,76800.0,77100.0,75900.0,76700.0,16114775
2021-09-02,68756.8984375,76000.0,76800.0,75700.0,76800.0,15347486
2021-09-03,69299.6953125,76600.0,76700.0,76000.0,76400.0,12096419
2021-09-06,69932.984375,77300.0,77600.0,76600.0,76800.0,12861180
2021-09-07,68847.359375,76100.0,77100.0,75900.0,77100.0,13239401
2021-09-08,69028.3046875,76300.0,76400.0,75600.0,76000.0,11798147
2021-09-09,68123.59375,75300.0,76600.0,75000.0,76400.0,17600770
2021-09-10,68123.59375,75300.0,75600.0,74800.0,75300.0,10103212
2021-09-13,69028.3046875,76300.0,76300.0,75100.0,75200.0,11397775
2021-09-14,69299.6953125,76600.0,77700.0,76600.0,77100.0,18167057
2021-09-15,69661.578125,77000.0,77400.0,76400.0,77400.0,12829128
2021-09-16,68847.359375,76100.0,77400.0,76100.0,77300.0,13067622
2021-09-17,69842.515625,77200.0,77200.0,75900.0,76300.0,16289502
2021-09-23,70023.4609375,77400.0,77600.0,76800.0,77500.0,17055590
2021-09-24,69932.984375,77300.0,77700.0,77100.0,77600.0,12247274
2021-09-27,70294.859375,77700.0,77700.0,77000.0,77300.0,11699798
2021-09-28,69028.3046875,76300.0,77800.0,76200.0,77700.0,15406382
2021-09-29,67356.640625,74100.0,75300.0,73800.0,74800.0,23992458
2021-09-30,67356.640625,74100.0,74800.0,73700.0,74300.0,19919361
2021-10-01,66538.546875,73200.0,74000.0,72900.0,73900.0,15803395
2021-10-05,65629.546875,72200.0,73000.0,71400.0,73000.0,24013921
2021-10-06,64811.44921875,71300.0,72800.0,71200.0,72600.0,18956962
2021-10-07,65084.140625,71600.0,72100.0,71300.0,71600.0,13683532
2021-10-08,64993.24609375,71500.0,72400.0,71500.0,72300.0,14043287
2021-10-12,62720.75390625,69000.0,70900.0,68700.0,70700.0,31001484
